"Latest: Time (s)","Latest: Force (N)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
1.93,0.550963044989,0.35329,0.299291319444,1.17798731674,1.93,0.448191909345,,
1.94,0.520958250163,,,,1.94,0.448191909345,,
1.95,0.498454654044,,,,1.95,0.455693108051,,
1.96,0.468449859218,,,,1.96,0.380681120987,,
1.97,0.438445064392,0.3682105,0.318346875,-0.714666039738,1.97,0.365678723574,,
1.98,0.415941468273,,,,1.98,0.328172730042,,
1.99,0.385936673447,,,,1.99,0.298167935216,,
2,0.355931878621,,,,2,0.283165537803,,
2.01,0.325927083795,0.3822735,0.238789930556,-2.47060570988,2.01,0.253160742977,,
2.02,0.303423487676,,,,2.02,0.283165537803,,
2.03,0.288421090263,,,,2.03,0.29066673651,,
2.04,0.280919891557,,,,2.04,0.230657146858,,
2.05,0.27341869285,0.3898195,0.0883701388889,-3.3323237365,2.05,0.230657146858,,
2.06,0.265917494144,,,,2.06,0.230657146858,,
2.07,0.258416295437,,,,2.07,0.230657146858,,
2.08,0.258416295437,,,,2.08,0.230657146858,,
2.09,0.258416295437,0.389305,-0.0674090277778,-3.05443021798,2.09,0.245659544271,,
2.1,0.265917494144,,,,2.1,0.29066673651,,
2.11,0.288421090263,,,,2.11,0.313170332629,,
2.12,0.303423487676,,,,2.12,0.29066673651,,
2.13,0.325927083795,0.383131,-0.183528819444,-1.95005160108,2.13,0.305669133922,,
2.14,0.355931878621,,,,2.14,0.328172730042,,
2.15,0.370934276034,,,,2.15,0.358177524868,,
2.16,0.385936673447,,,,2.16,0.388182319693,,
2.17,0.408440269566,0.372498,-0.237837152778,-0.44520857446,2.17,0.425688313226,,
2.18,0.438445064392,,,,2.18,0.485697902877,,
2.19,0.468449859218,,,,2.19,0.508201498997,,
2.2,0.513457051456,,,,2.2,0.493199101584,,
2.21,0.543461846282,0.3606645,-0.203060763889,0.731538146219,2.21,0.52320389641,,
2.22,0.573466641108,,,,2.22,0.538206293822,,
2.23,0.595970237227,,,,2.23,0.553208691235,,
2.24,0.618473833347,,,,2.24,0.560709889942,,
2.25,0.640602369531,0.35672,-0.161138541667,1.47531684028,2.25,0.560709889942,,
2.26,0.670607164357,,,,2.26,0.568211088648,,
2.27,0.678108363063,,,,2.27,0.530705095116,,
2.28,0.708113157889,,,,2.28,0.455693108051,,
2.29,0.723115555302,0.3472875,-0.0957541666667,2.33066647377,2.29,0.508201498997,,
2.3,0.723115555302,,,,2.3,0.530705095116,,
2.31,0.730616754008,,,,2.31,0.538206293822,,
2.32,0.723115555302,,,,2.32,0.508201498997,,
2.33,0.715614356595,0.34643,0.0323944444444,2.86751374421,2.33,0.50070030029,,
2.34,0.708113157889,,,,2.34,0.50070030029,,
2.35,0.700611959182,,,,2.35,0.463194306758,,
2.36,0.68560956177,,,,2.36,0.380681120987,,
2.37,0.670607164357,0.3496885,0.164473263889,2.53519941165,2.37,0.418187114519,,
2.38,0.640602369531,,,,2.38,0.448191909345,,
2.39,0.603471435934,,,,2.39,0.448191909345,,
2.4,0.580967839815,,,,2.4,0.433189511932,,
2.41,0.550963044989,0.36015,0.273923611111,1.15003255208,2.41,0.425688313226,,
2.42,0.528459448869,,,,2.42,0.418187114519,,
2.43,0.498454654044,,,,2.43,0.373179922281,,
2.44,0.475951057924,,,,2.44,0.328172730042,,
2.45,0.445946263098,0.3754135,0.278925694444,-0.836575279707,2.45,0.380681120987,,
2.46,0.415941468273,,,,2.46,0.388182319693,,
2.47,0.385936673447,,,,2.47,0.388182319693,,
2.48,0.348430679915,,,,2.48,0.380681120987,,
2.49,0.325927083795,0.3857035,0.191746527778,-2.44728250386,2.49,0.388182319693,,
2.5,0.310924686382,,,,2.5,0.365678723574,,
2.51,0.303423487676,,,,2.51,0.320671531335,,
2.52,0.280919891557,,,,2.52,0.320671531335,,
2.53,0.27341869285,0.392392,0.0521645833333,-3.20718894676,2.53,0.3956835184,,
2.54,0.265917494144,,,,2.54,0.410685915813,,
2.55,0.258416295437,,,,2.55,0.403184717106,,
2.56,0.250915096731,,,,2.56,0.403184717106,,
2.57,0.258416295437,0.389991,-0.0957541666667,-3.03871600116,2.57,0.425688313226,,
2.58,0.265917494144,,,,2.58,0.410685915813,,
2.59,0.288421090263,,,,2.59,0.388182319693,,
2.6,0.295922288969,,,,2.6,0.388182319693,,
2.61,0.318425885089,0.383474,-0.209730208333,-2.21330608603,2.61,0.470695505464,,
2.62,0.340929481208,,,,2.62,0.485697902877,,
2.63,0.355931878621,,,,2.63,0.50070030029,,
2.64,0.385936673447,,,,2.64,0.50070030029,,
2.65,0.40093907086,0.372498,-0.290954513889,-0.837485050154,2.65,0.50070030029,,
2.66,0.430943865686,,,,2.66,0.485697902877,,
2.67,0.475951057924,,,,2.67,0.463194306758,,
2.68,0.513457051456,,,,2.68,0.463194306758,,
2.69,0.543461846282,0.357406,-0.291669097222,0.89827425733,2.69,0.560709889942,,
2.7,0.565965442402,,,,2.7,0.568211088648,,
2.71,0.580967839815,,,,2.71,0.553208691235,,
2.72,0.603471435934,,,,2.72,0.52320389641,,
2.73,0.63347623076,0.346087,-0.207110069444,2.31751615548,2.73,0.52320389641,,
2.74,0.66310596565,,,,2.74,0.515702697703,,
2.75,0.693110760476,,,,2.75,0.493199101584,,
2.76,0.708113157889,,,,2.76,0.50070030029,,
2.77,0.708113157889,0.3397415,-0.0822961805556,3.05641517168,2.77,0.560709889942,,
2.78,0.715614356595,,,,2.78,0.560709889942,,
2.79,0.715614356595,,,,2.79,0.545707492529,,
2.8,0.715614356595,,,,2.8,0.50070030029,,
2.81,0.715614356595,0.338884,0.0608586805556,3.05261067708,2.81,0.485697902877,,
2.82,0.708113157889,,,,2.82,0.463194306758,,
2.83,0.708113157889,,,,2.83,0.425688313226,,
2.84,0.693110760476,,,,2.84,0.433189511932,,
2.85,0.670607164357,0.345058,0.187697222222,2.28501253858,2.85,0.485697902877,,
2.86,0.640602369531,,,,2.86,0.485697902877,,
2.87,0.61097263464,,,,2.87,0.455693108051,,
2.88,0.588469038521,,,,2.88,0.418187114519,,
2.89,0.558464243695,0.3558625,0.260465625,0.997687355324,2.89,0.410685915813,,
2.9,0.528459448869,,,,2.9,0.373179922281,,
2.91,0.50595585275,,,,2.91,0.335673928748,,
2.92,0.475951057924,,,,2.92,0.343175127455,,
2.93,0.438445064392,0.3678675,0.271422569444,-0.465719762732,2.93,0.403184717106,,
2.94,0.415941468273,,,,2.94,0.410685915813,,
2.95,0.385936673447,,,,2.95,0.388182319693,,
2.96,0.355931878621,,,,2.96,0.358177524868,,
2.97,0.325927083795,0.3791865,0.225689236111,-1.94624710648,2.97,0.373179922281,,
2.98,0.310924686382,,,,2.98,0.358177524868,,
2.99,0.303423487676,,,,2.99,0.320671531335,,
3,0.288421090263,,,,3,0.328172730042,,
3.01,0.265917494144,0.388619,0.106353819444,-3.07643012153,3.01,0.410685915813,,
3.02,0.258416295437,,,,3.02,0.410685915813,,
3.03,0.250915096731,,,,3.03,0.3956835184,,
3.04,0.250915096731,,,,3.04,0.388182319693,,
3.05,0.250915096731,0.3891335,-0.0527600694444,-3.28551191165,3.05,0.410685915813,,
3.06,0.265917494144,,,,3.06,0.3956835184,,
3.07,0.288421090263,,,,3.07,0.380681120987,,
3.08,0.303423487676,,,,3.08,0.410685915813,,
3.09,0.318425885089,0.383474,-0.189602777778,-2.50434992284,3.09,0.485697902877,,
3.1,0.333428282502,,,,3.1,0.485697902877,,
3.11,0.348430679915,,,,3.11,0.470695505464,,
3.12,0.370934276034,,,,3.12,0.463194306758,,
3.13,0.408440269566,0.3726695,-0.280473958333,-0.924078655478,3.13,0.478196704171,,
3.14,0.438445064392,,,,3.14,0.478196704171,,
3.15,0.483452256631,,,,3.15,0.455693108051,,
3.16,0.50595585275,,,,3.16,0.508201498997,,
3.17,0.528459448869,0.357749,-0.277615625,1.0067850598,3.17,0.568211088648,,
3.18,0.558464243695,,,,3.18,0.560709889942,,
3.19,0.580967839815,,,,3.19,0.538206293822,,
3.2,0.61097263464,,,,3.2,0.52320389641,,
3.21,0.63347623076,0.3469445,-0.179241319444,2.40940297068,3.21,0.530705095116,,
3.22,0.66310596565,,,,3.22,0.515702697703,,
3.23,0.693110760476,,,,3.23,0.485697902877,,
3.24,0.708113157889,,,,3.24,0.515702697703,,
3.25,0.715614356595,0.3428285,-0.0527600694444,2.9361600598,3.25,0.568211088648,,
3.26,0.715614356595,,,,3.26,0.575712287355,,
3.27,0.715614356595,,,,3.27,0.530705095116,,
3.28,0.715614356595,,,,3.28,0.478196704171,,
